Points:0,Points:1,Points:2
11.9191,0.421762,0.059528
11.9192,0.426355,0.080004
11.9198,0.423564,0.065106
11.9197,0.425344,0.0733667
11.9197,0.426715,0.0817849
11.9205,0.420942,0.0566651
11.9204,0.426232,0.0776915
11.9204,0.427059,0.0831178
11.9207,0.42502,0.0707082
11.9214,0.422918,0.0617336
11.9213,0.426028,0.0754883
11.9215,0.427018,0.0814469
11.9219,0.42464,0.0678245
11.9218,0.426773,0.0794295
11.9223,0.425795,0.0730635
11.9224,0.427416,0.0830444
11.9229,0.422211,0.0587549
11.9229,0.42666,0.0774518
11.9235,0.424183,0.0647641
11.9234,0.427367,0.0813502
11.9236,0.425509,0.0704129
11.9238,0.426479,0.0752714
11.9241,0.427207,0.0793444
11.9243,0.427773,0.0829709
11.9249,0.421277,0.0553968
11.925,0.426264,0.0728416
11.9252,0.423589,0.0615087
11.9252,0.425204,0.0675585
11.9251,0.427081,0.0773769
11.9253,0.427721,0.0812692
11.9262,0.426918,0.0751542
11.9262,0.42813,0.0828974
11.9263,0.427615,0.0793457
11.9265,0.426042,0.0702567
11.927,0.424809,0.0645562
11.9271,0.422772,0.058031
11.9272,0.428076,0.0811923
11.9273,0.427493,0.0773153
11.9278,0.426786,0.0727939
11.9281,0.428487,0.0828239
11.9283,0.428,0.0793326
11.9285,0.425837,0.0675856
11.929,0.424261,0.0612841
11.9289,0.426469,0.0700688
11.9289,0.427436,0.0752014
11.9295,0.421615,0.0541539
11.9291,0.428432,0.0811171
11.9296,0.427932,0.077377
11.9302,0.425582,0.0651547
11.93,0.428843,0.0827505
11.9305,0.428419,0.0793619
11.9305,0.427402,0.0732458
11.9312,0.427028,0.070686
11.931,0.428788,0.081043
11.9315,0.423513,0.0577569
11.9319,0.428394,0.0774727
11.9319,0.4292,0.082677
11.9322,0.426603,0.0677533
11.9322,0.428088,0.0753073
11.9326,0.428852,0.0794983
11.9332,0.426024,0.064599
11.9331,0.427826,0.0728549
11.9331,0.429212,0.0812761
11.9342,0.421956,0.0529352
11.9339,0.428722,0.0771781
11.9339,0.429557,0.0826035
11.9341,0.427496,0.0701974
11.9348,0.425363,0.0612304
11.9347,0.428514,0.0749757
11.9349,0.429514,0.0809321
11.9354,0.427108,0.0673154
11.9352,0.429266,0.0789151
11.9358,0.428276,0.0725517
11.9358,0.429914,0.0825301
11.9366,0.424511,0.057768
11.9363,0.42915,0.0769384
11.9369,0.426641,0.0642574
11.9368,0.429863,0.0808357
11.937,0.427984,0.0699023
11.9373,0.428965,0.0747588
11.9376,0.4297,0.0788308
11.9377,0.430271,0.0824566
11.9384,0.428745,0.0723299
11.9386,0.426034,0.0610057
11.9386,0.427672,0.0670495
11.9386,0.42957,0.0768638
11.939,0.422298,0.0517388
11.9387,0.430217,0.080755
11.9397,0.429404,0.0746419
11.9396,0.430628,0.0823831
11.9397,0.430108,0.0788322
11.9399,0.428517,0.0697462
11.9404,0.427266,0.0640496
11.9406,0.4252,0.057534
11.9406,0.430572,0.0806783
11.9408,0.429983,0.0768024
11.9412,0.429267,0.0722826
11.9415,0.430985,0.0823097
11.9417,0.430493,0.0788192
11.9419,0.428305,0.0670766
11.9425,0.426706,0.0607813
11.9423,0.429922,0.0746894
11.9427,0.424062,0.0538555
11.9426,0.430928,0.0806033
11.943,0.429144,0.0698825
11.943,0.430422,0.0768643
11.9439,0.422643,0.0505618
11.9435,0.431342,0.0822362
11.9439,0.427982,0.0642225
11.9439,0.430912,0.0788488
11.9442,0.429897,0.072609
11.9447,0.425917,0.0572911
11.9445,0.431284,0.0805291
11.9448,0.430463,0.0750398
11.9451,0.428979,0.0673139
11.9454,0.430935,0.0772169
11.9454,0.431699,0.0821627
11.9462,0.427564,0.0612283
11.946,0.431345,0.0789851
11.9463,0.430806,0.0753351
11.9465,0.431708,0.0807623
11.947,0.426719,0.0582405
11.9468,0.4305,0.0731191
11.9469,0.429968,0.0702854
11.9474,0.42482,0.0535217
11.9473,0.42874,0.0645674
11.9473,0.432056,0.0820892
11.9477,0.431332,0.0769217
11.9483,0.43201,0.0804181
11.949,0.422991,0.0494001
11.9488,0.431133,0.0745057
11.9492,0.430718,0.0718158
11.9492,0.432413,0.0820158
11.9493,0.43189,0.0785175
11.9494,0.430143,0.0688337
11.9496,0.426376,0.0560562
11.9504,0.428031,0.0601443
11.9503,0.43175,0.0764672
11.9502,0.432359,0.0803219
11.9508,0.428936,0.0628638
11.9509,0.429846,0.066288
11.9511,0.43277,0.0819423
11.9513,0.43227,0.0784455
11.9515,0.431608,0.0743012
11.9522,0.425248,0.0524365
11.9522,0.43075,0.0691362
11.9522,0.432713,0.0802411
11.9525,0.432185,0.0764673
11.953,0.427284,0.0566382
11.953,0.433127,0.0818688
11.9535,0.431526,0.0717972
11.9536,0.430067,0.0650447
11.9535,0.432688,0.0784688
11.9541,0.42334,0.0482487
11.9539,0.432086,0.0743539
11.9541,0.433068,0.0801643
11.9548,0.432633,0.0765652
11.955,0.433484,0.0817953
11.9551,0.431404,0.0695655
11.9554,0.429044,0.0602732
11.9558,0.426175,0.0529152
11.9556,0.433121,0.0786001
11.9562,0.430986,0.0667097
11.9561,0.433491,0.0803837
11.9563,0.432568,0.074536
11.9568,0.432189,0.0719112
11.9569,0.433841,0.0817219
11.9573,0.433112,0.0765558
11.9576,0.428166,0.0566181
11.9576,0.43045,0.0635806
11.958,0.431888,0.0692766
11.9579,0.433795,0.0800545
11.9584,0.432902,0.0740844
11.9588,0.434198,0.0816484
11.9594,0.423693,0.0471021
11.9588,0.433671,0.078153
11.9594,0.429765,0.0601099
11.9593,0.431511,0.0664079
11.9595,0.432674,0.0716819
11.9599,0.433529,0.0761028
11.9602,0.427194,0.0532118
11.9598,0.434143,0.0799566
11.9607,0.434555,0.0815749
11.9609,0.432411,0.0690985
11.961,0.431059,0.0633728
11.9609,0.434051,0.0780803
11.9611,0.433384,0.0739372
11.9617,0.429078,0.0568984
11.9617,0.434496,0.079875
11.9621,0.433964,0.0761023
11.9624,0.433214,0.0716235
11.9625,0.432126,0.066401
11.963,0.425874,0.049609
11.9626,0.434912,0.0815015
11.9631,0.430584,0.0603716
11.963,0.434469,0.0781033
11.9635,0.433862,0.0739894
11.9637,0.434851,0.0797977
11.964,0.433027,0.0691962
11.9645,0.428162,0.053502
11.9647,0.424048,0.0459562
11.9645,0.431796,0.0636147
11.9644,0.434412,0.0762001
11.9645,0.435269,0.081428
11.9648,0.433728,0.0718731
11.9652,0.434902,0.0782347
11.9657,0.429956,0.057189
11.9657,0.432793,0.0666229
11.9657,0.435275,0.0800176
11.966,0.434384,0.0742167
11.9666,0.433594,0.0695256
11.9665,0.435626,0.0813545
