ID,Points:0,Points:1
11.8533,0.414565,0.0856894
11.8552,0.414601,0.0863723
11.8571,0.414642,0.0870533
11.8592,0.414687,0.0877312
11.8613,0.414737,0.0884024
11.8635,0.414792,0.0890616
11.8658,0.414853,0.0897018
11.8681,0.414921,0.090316
11.8706,0.414997,0.0908976
11.8732,0.415081,0.0914414
11.8758,0.415174,0.0919415
11.8785,0.415276,0.0923954
11.8812,0.415386,0.0928041
11.8841,0.415505,0.093169
11.887,0.415631,0.093492
11.8899,0.415766,0.0937748
11.8929,0.415907,0.0940197
11.896,0.416054,0.0942293
11.8991,0.416208,0.0944054
11.9023,0.416368,0.0945505
11.9055,0.416533,0.0946672
11.9087,0.416704,0.0947579
11.912,0.416878,0.0948249
11.9153,0.417057,0.0948709
11.9187,0.41724,0.0948982
11.9221,0.417426,0.0949095
11.9255,0.417616,0.0949072
11.9289,0.417808,0.0948941
11.9324,0.418003,0.0948729
11.936,0.418199,0.0948464
11.9396,0.418397,0.0948176
11.9432,0.418597,0.0947894
11.9468,0.418797,0.0947648
11.9505,0.418999,0.0947448
11.9543,0.419201,0.0947295
11.958,0.419404,0.0947185
11.9619,0.419608,0.094712
11.9657,0.419813,0.0947099
11.9696,0.420019,0.0947119
11.9736,0.420226,0.0947178
11.9776,0.420434,0.0947276
11.9817,0.420643,0.0947411
11.9858,0.420853,0.094758
11.99,0.421065,0.0947781
11.9942,0.421277,0.094801
11.9984,0.421491,0.0948266
12.0028,0.421706,0.0948543
12.0071,0.421922,0.0948838
12.0116,0.422139,0.0949146
12.0161,0.422357,0.0949463
12.0206,0.422577,0.0949782
12.0253,0.422798,0.0950097
12.0299,0.423021,0.0950402
12.0347,0.423245,0.0950689
12.0395,0.423471,0.095095
12.0444,0.423698,0.0951176
12.0493,0.423927,0.0951359
12.0543,0.424157,0.0951488
12.0594,0.42439,0.0951552
12.0645,0.424624,0.0951545
12.0697,0.424859,0.0951465
12.075,0.425097,0.0951313
12.0803,0.425335,0.0951089
12.0857,0.425576,0.0950793
12.0912,0.425817,0.0950423
12.0968,0.42606,0.0949982
12.1024,0.426303,0.094947
12.1081,0.426548,0.0948886
12.1139,0.426793,0.0948232
12.1197,0.427039,0.0947508
12.1257,0.427286,0.0946717
12.1317,0.427532,0.0945859
12.1378,0.427779,0.0944937
12.144,0.428026,0.0943951
12.1502,0.428272,0.0942905
12.1566,0.428518,0.0941802
12.163,0.428763,0.0940643
12.1695,0.429007,0.0939433
12.1761,0.42925,0.0938176
12.1828,0.429491,0.0936876
12.1896,0.429731,0.0935539
12.1965,0.429968,0.093417
12.2035,0.430202,0.0932776
12.2106,0.430434,0.0931363
12.2177,0.430662,0.0929933
12.225,0.430887,0.0928484
12.2324,0.431108,0.0927017
12.2399,0.431325,0.0925531
12.2475,0.431538,0.0924022
12.2552,0.431747,0.092249
12.2631,0.431951,0.0920934
12.271,0.432151,0.0919351
12.2791,0.432346,0.0917739
12.2873,0.432535,0.0916097
12.2956,0.43272,0.0914422
12.3041,0.432898,0.0912712
12.3127,0.433071,0.0910963
12.3214,0.433239,0.0909173
12.3302,0.4334,0.0907339
12.3392,0.433554,0.0905457
12.3484,0.433702,0.0903524
12.3576,0.433843,0.0901534
12.3671,0.433977,0.0899484
12.3767,0.434103,0.0897368
12.3864,0.434222,0.0895184
12.3963,0.434332,0.0892929
12.4064,0.434434,0.0890601
12.4166,0.434527,0.0888199
12.427,0.434612,0.0885719
12.4376,0.434686,0.0883161
12.4484,0.434751,0.0880523
12.4594,0.434806,0.0877804
12.4705,0.43485,0.0875002
12.4818,0.434882,0.0872115
12.4934,0.434904,0.0869142
