ID,Points:0,Points:1
12.9983,0.627675,0.0418268
13.0001,0.627675,0.0409294
13.002,0.627675,0.0400169
13.0039,0.627675,0.0390938
13.006,0.627675,0.0381658
13.0081,0.627675,0.0372403
13.0103,0.627675,0.0363256
13.0126,0.627675,0.0354315
13.0151,0.627675,0.0345686
13.0176,0.627675,0.0337432
13.0202,0.627675,0.0329581
13.0228,0.627675,0.0322147
13.0256,0.627675,0.0315136
13.0284,0.627675,0.0308542
13.0313,0.627675,0.0302348
13.0343,0.627675,0.0296529
13.0373,0.627675,0.0291051
13.0404,0.627675,0.028587
13.0435,0.627675,0.0280936
13.0467,0.627675,0.027619
13.0499,0.627675,0.0271569
13.0532,0.627675,0.0267001
13.0565,0.627675,0.0262408
13.0598,0.627675,0.0257706
13.0632,0.627675,0.0252831
13.0666,0.627675,0.0247776
13.0701,0.627675,0.024254
13.0736,0.627675,0.0237127
13.0772,0.627675,0.0231537
13.0808,0.627675,0.0225772
13.0844,0.627675,0.0219834
13.0881,0.627675,0.0213727
13.0919,0.627675,0.0207457
13.0957,0.627675,0.0201027
13.0996,0.627675,0.0194444
13.1036,0.627675,0.0187715
13.1076,0.627675,0.0180849
13.1116,0.627675,0.0173855
13.1158,0.627675,0.0166744
13.12,0.627675,0.0159529
13.1242,0.627675,0.0152224
13.1286,0.627675,0.0144845
13.133,0.627675,0.013741
13.1374,0.627675,0.0129936
13.142,0.627675,0.0122435
13.1466,0.627675,0.0114905
13.1513,0.627675,0.0107344
13.156,0.627675,0.00997536
13.1608,0.627675,0.00921285
13.1657,0.627675,0.00844674
13.1707,0.627675,0.00767677
13.1757,0.627675,0.0069025
13.1808,0.627675,0.00612355
13.186,0.627675,0.00533958
13.1912,0.627675,0.00455006
13.1966,0.627675,0.00375452
13.202,0.627675,0.0029523
13.2075,0.627675,0.00214278
13.213,0.627675,0.0013254
13.2186,0.627675,0.000499133
13.2243,0.627675,-0.000336741
13.2301,0.627675,-0.00118316
13.236,0.627675,-0.00204114
13.242,0.627675,-0.00291168
13.248,0.627675,-0.00379589
13.2541,0.627675,-0.00469385
13.2603,0.627675,-0.00560579
13.2666,0.627675,-0.00653181
13.2729,0.627675,-0.00747204
13.2794,0.627675,-0.00842657
13.2859,0.627675,-0.00939556
13.2926,0.627675,-0.0103791
13.2993,0.627675,-0.0113772
13.3061,0.627675,-0.0123899
13.3131,0.627675,-0.0134173
13.3201,0.627675,-0.0144594
13.3272,0.627675,-0.0155163
13.3344,0.627675,-0.0165878
13.3417,0.627675,-0.0176741
13.3491,0.627675,-0.0187749
13.3567,0.627675,-0.0198905
13.3643,0.627675,-0.0210206
13.372,0.627675,-0.0221652
13.3799,0.627675,-0.0233241
13.3878,0.627675,-0.0244973
13.3959,0.627675,-0.0256851
13.4041,0.627675,-0.0268875
13.4124,0.627675,-0.0281049
13.4208,0.627675,-0.0293376
13.4293,0.627675,-0.0305855
13.438,0.627675,-0.031849
13.4467,0.627675,-0.0331284
13.4556,0.627675,-0.0344239
13.4646,0.627675,-0.0357358
13.4738,0.627675,-0.0370642
13.483,0.627675,-0.0384097
13.4924,0.627675,-0.0397722
13.5019,0.627675,-0.0411523
13.5116,0.627675,-0.0425502
13.5214,0.627675,-0.0439663
13.5313,0.627675,-0.0454009
13.5414,0.627675,-0.0468542
13.5516,0.627675,-0.0483267
13.5619,0.627675,-0.0498188
13.5724,0.627675,-0.0513305
13.583,0.627675,-0.0528618
13.5938,0.627675,-0.0544131
13.6047,0.627675,-0.0559845
13.6158,0.627675,-0.0575762
13.627,0.627675,-0.0591884
13.6384,0.627675,-0.0608213
13.65,0.627675,-0.0624751
13.6617,0.627675,-0.0641497
13.6735,0.627675,-0.0658456
13.6855,0.627675,-0.0675628
13.6977,0.627675,-0.0693016
13.7101,0.627675,-0.0710617
13.7226,0.627675,-0.0728435
13.7353,0.627675,-0.0746474
13.7482,0.627675,-0.0764729
13.7613,0.627675,-0.0783206
13.7745,0.627675,-0.0801907
13.7879,0.627675,-0.0820833
13.8015,0.627675,-0.0839985
13.8153,0.627675,-0.0859365
13.8293,0.627675,-0.0878973
13.8435,0.627675,-0.0898814
13.8578,0.627675,-0.0918883
13.8724,0.627675,-0.0939185
13.8872,0.627675,-0.0959723
13.9021,0.627675,-0.0980498
13.9173,0.627675,-0.100151
13.9326,0.627675,-0.102276
13.9482,0.627675,-0.104424
13.964,0.627675,-0.106597
13.98,0.627675,-0.108794
13.9962,0.627675,-0.111015
14.0127,0.627675,-0.11326
14.0293,0.627675,-0.11553
14.0462,0.627675,-0.117824
14.0633,0.627675,-0.120142
14.0807,0.627675,-0.122484
14.0983,0.627675,-0.124851
14.1161,0.627675,-0.127242
14.1341,0.627675,-0.129658
14.1524,0.627675,-0.132098
14.171,0.627675,-0.134563
14.1897,0.627675,-0.137051
