Points:0,Points:1,Points:2
12.9983,0.627675,0.0418268
13.0001,0.627675,0.0409294
13.0003,0.627852,0.0417599
13.002,0.627675,0.0400169
13.0022,0.62803,0.041693
13.0039,0.627675,0.0390938
13.0041,0.628208,0.041626
13.0057,0.628112,0.0403516
13.006,0.627675,0.0381658
13.0061,0.628386,0.0415591
13.0078,0.628144,0.0395003
13.0081,0.627675,0.0372403
13.008,0.628563,0.0414922
13.0099,0.628164,0.038609
13.01,0.628741,0.0414253
13.0103,0.627675,0.0363256
13.0108,0.628568,0.0401428
13.0119,0.628919,0.0413583
13.0122,0.628218,0.037807
13.0126,0.627675,0.0354315
13.0128,0.628672,0.0396776
13.0139,0.629097,0.0412914
13.0146,0.628269,0.0370207
13.0147,0.62885,0.0396148
13.0151,0.627675,0.0345686
13.0158,0.629274,0.0412245
13.016,0.628632,0.0379669
13.0166,0.629028,0.0395568
13.017,0.628321,0.036222
13.0176,0.627675,0.0337432
13.0176,0.628727,0.0377004
13.0177,0.629452,0.0411576
13.0186,0.629209,0.0395159
13.0195,0.628381,0.0354723
13.0197,0.62963,0.0410906
13.0202,0.627675,0.0329581
13.0204,0.629432,0.0397073
13.0209,0.629099,0.0379057
13.0216,0.629808,0.0410237
13.0221,0.628456,0.0347874
13.0225,0.629561,0.0393408
13.0228,0.627675,0.0322147
13.0231,0.629251,0.0376182
13.0236,0.629986,0.0409568
13.0237,0.628881,0.0357895
13.0244,0.629739,0.039276
13.0248,0.628524,0.0340787
13.0252,0.629428,0.0374358
13.0256,0.627675,0.0315136
13.0255,0.630163,0.0408898
13.0264,0.629917,0.0392136
13.0265,0.629078,0.0354585
13.0273,0.629615,0.0373547
13.0274,0.630341,0.0408229
13.0276,0.628612,0.0334643
13.0283,0.630097,0.0391643
13.0284,0.627675,0.0308542
13.029,0.629405,0.035759
13.0294,0.630519,0.040756
13.0302,0.630331,0.0394004
13.0304,0.628695,0.0328244
13.0306,0.629997,0.0376269
13.0313,0.627675,0.0302348
13.0313,0.629589,0.0355536
13.0313,0.630697,0.040689
13.0318,0.62911,0.0336546
13.0322,0.630449,0.0389901
13.0327,0.630146,0.0373265
13.0333,0.628781,0.0322339
13.0333,0.630874,0.0406221
13.0336,0.629744,0.0352614
13.0343,0.627675,0.0296529
13.0342,0.630626,0.0389102
13.0349,0.630317,0.0371186
13.0351,0.629332,0.0332878
13.0352,0.631052,0.0405552
13.0359,0.629938,0.0351065
13.0362,0.628886,0.0317101
13.0362,0.630812,0.0388645
13.0371,0.630507,0.0369962
13.0373,0.627675,0.0291051
13.0372,0.63123,0.0404882
13.0375,0.629557,0.0332164
13.0381,0.630989,0.0387735
13.0382,0.630138,0.0349862
13.0391,0.631408,0.0404213
13.0393,0.628975,0.0311429
13.0393,0.630707,0.0369167
13.0402,0.629883,0.0333911
13.0401,0.631171,0.038718
13.0404,0.627675,0.028587
13.0406,0.630479,0.0353857
13.041,0.631586,0.0403544
13.0415,0.630947,0.0370146
13.0421,0.631351,0.0386575
13.0423,0.629085,0.0306618
13.0429,0.630653,0.0351841
13.043,0.630107,0.0331801
13.043,0.631763,0.0402874
13.0435,0.627675,0.0280936
13.0437,0.631196,0.0371673
13.0441,0.631606,0.0389179
13.0449,0.630782,0.0348839
13.0449,0.631941,0.0402205
13.0455,0.629173,0.0301306
13.0457,0.630236,0.0327319
13.046,0.631718,0.0385596
13.0463,0.631325,0.0365644
13.0467,0.627675,0.027619
13.0469,0.632119,0.0401536
13.0474,0.630962,0.0346243
13.0479,0.631891,0.0384731
13.0483,0.630439,0.0325067
13.0486,0.629281,0.0296756
13.0487,0.631544,0.0364929
13.0488,0.632297,0.0400866
13.0497,0.631175,0.0345596
13.0499,0.627675,0.0271569
13.0498,0.632067,0.0384008
13.0508,0.630654,0.032399
13.0507,0.632475,0.0400197
13.0508,0.63176,0.0365021
13.0518,0.629343,0.0291593
13.0518,0.632244,0.0383312
13.0519,0.631386,0.0345052
13.0526,0.630895,0.0325473
13.0527,0.632652,0.0399527
13.0529,0.631961,0.0364954
13.0532,0.627675,0.0267001
13.0537,0.632421,0.0382631
13.0541,0.631605,0.0344945
13.0546,0.630727,0.0314918
13.0546,0.63283,0.0398858
13.0552,0.629444,0.0286917
13.0551,0.632187,0.036532
13.0557,0.632599,0.0381956
13.0562,0.63205,0.0354544
13.0565,0.627675,0.0262408
13.0566,0.633008,0.0398189
13.0567,0.631464,0.0330374
13.0572,0.630717,0.0307632
13.0572,0.632434,0.036675
13.0577,0.63285,0.0384359
13.0585,0.629527,0.0282458
13.0585,0.63204,0.0344615
13.0585,0.633186,0.0397519
13.0593,0.631512,0.0323511
13.0598,0.627675,0.0257706
13.0596,0.632966,0.0380977
13.0599,0.632572,0.036102
13.0602,0.6307,0.0299911
13.0605,0.633364,0.039685
13.061,0.632209,0.0341591
