Points:0,Points:1,Points:2
11.8533,0.414565,0.0856894
11.8552,0.414601,0.0863723
11.8552,0.414922,0.0856159
11.8571,0.414642,0.0870533
11.8571,0.415279,0.0855424
11.8591,0.415636,0.0854689
11.8592,0.414687,0.0877312
11.8607,0.415532,0.0863979
11.861,0.415993,0.0853955
11.8613,0.414737,0.0884024
11.8629,0.415634,0.0870048
11.8629,0.41635,0.085322
11.8635,0.414792,0.0890616
11.8648,0.416707,0.0852485
11.8651,0.415746,0.0875981
11.8656,0.416447,0.0862052
11.8658,0.414853,0.0897018
11.8667,0.417064,0.085175
11.8674,0.415865,0.0881898
11.8676,0.41668,0.0864472
11.8681,0.414921,0.090316
11.8687,0.417421,0.0851016
11.8697,0.416957,0.0866166
11.8698,0.416007,0.0887225
11.8706,0.414997,0.0908976
11.8706,0.417778,0.0850281
11.8716,0.417314,0.0865352
11.8722,0.416124,0.0892949
11.8725,0.418134,0.0849546
11.8732,0.415081,0.0914414
11.8731,0.416929,0.0879626
11.8735,0.417676,0.0864387
11.8744,0.418491,0.0848811
11.8748,0.416323,0.0897332
11.8753,0.418119,0.0861267
11.8758,0.415174,0.0919415
11.876,0.417492,0.0877742
11.8763,0.418848,0.0848077
11.8774,0.418382,0.0863251
11.8775,0.416503,0.0902046
11.8782,0.417802,0.0878873
11.8782,0.419205,0.0847342
11.8785,0.415276,0.0923954
11.8793,0.418738,0.0862478
11.8801,0.416697,0.0906265
11.8802,0.419562,0.0846607
11.8803,0.418158,0.0879006
11.8812,0.415386,0.0928041
11.8812,0.419096,0.0861665
11.8818,0.417551,0.0895955
11.8821,0.419919,0.0845873
11.8824,0.418534,0.0878266
11.8829,0.4169,0.0910185
11.8831,0.419458,0.0860703
11.8841,0.415505,0.093169
11.884,0.420276,0.0845138
11.8843,0.418249,0.0890403
11.8849,0.419901,0.0857605
11.8856,0.41927,0.0874069
11.8857,0.417133,0.091347
11.8859,0.420633,0.0844403
11.8866,0.418521,0.0892511
11.887,0.415631,0.093492
11.887,0.420163,0.0859573
11.8878,0.419579,0.0875194
11.8878,0.42099,0.0843668
11.8886,0.417352,0.0916955
11.8889,0.418851,0.0893287
11.8889,0.420519,0.0858813
11.8897,0.418022,0.0909678
11.8897,0.421347,0.0842934
11.8899,0.415766,0.0937748
11.8899,0.419935,0.0875336
11.8908,0.420877,0.0858026
11.8912,0.419229,0.0893191
11.8915,0.417605,0.091964
11.8917,0.421704,0.0842199
11.892,0.42031,0.0874621
11.8927,0.421238,0.0857108
11.8928,0.418815,0.0904726
11.8929,0.415907,0.0940197
11.8936,0.422061,0.0841464
11.8937,0.419871,0.0888986
11.8946,0.41784,0.0922557
11.8945,0.421697,0.0853671
11.895,0.419176,0.0904784
11.8951,0.42106,0.0869962
11.8955,0.422418,0.084073
11.896,0.416054,0.0942293
11.8959,0.420421,0.0885519
11.8966,0.421943,0.0855963
11.8972,0.419477,0.0905564
11.8973,0.421362,0.0871223
11.8974,0.422775,0.0839995
11.8976,0.418108,0.0924727
11.8985,0.420597,0.0889944
11.8985,0.422298,0.0855284
11.8991,0.416208,0.0944054
11.8993,0.423132,0.083926
11.8995,0.421689,0.0871978
11.8999,0.419705,0.0908404
11.9004,0.422654,0.085465
11.9006,0.418324,0.0927291
11.9008,0.421007,0.0889446
11.9013,0.423489,0.0838526
11.9016,0.422092,0.0871096
11.9023,0.416368,0.0945505
11.9024,0.419892,0.0911393
11.9024,0.423026,0.0853681
11.9031,0.421435,0.0888415
11.9032,0.423846,0.0837791
11.9038,0.418631,0.0928872
11.9038,0.422513,0.0869828
11.9044,0.423381,0.0853144
11.9051,0.424203,0.0837056
